year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,sellingprice,saledate
2013,Ford,Escape,SE,SUV,,1fmcu0gx8duc70348,tx,4.0,17098.0,red,tan,ford motor credit company llc,16700.0,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2002,Nissan,Sentra,GXE,Sedan,automatic,3n1cb51d52l684395,fl,36.0,85538.0,white,beige,new wave auto sales,2500.0,Thu Mar 05 2015 09:00:00 GMT-0800 (PST)
2012,Kia,Optima,EX,Sedan,,5xxgn4a79cg014243,pa,47.0,33002.0,brown,gray,kia motors finance,15300.0,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5c58ba659161,nj,44.0,37196.0,silver,black,bmw of annapolis/mini of annapolis,18800.0,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Escape,Titanium,SUV,automatic,1fmcu0jx3euc46873,tx,29.0,30020.0,black,gray,avis budget group,18100.0,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
2012,Chevrolet,Malibu,LT,Sedan,,1g1zc5e06cf163489,pa,47.0,14688.0,gray,brown,gm financial leasing,12900.0,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
2013,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0d94dr132656,mi,5.0,13305.0,black,black,ford motor credit company llc,15900.0,Wed Mar 11 2015 03:00:00 GMT-0700 (PDT)
2014,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcg3er209548,il,49.0,41351.0,blue,gray,ec sales llc,16500.0,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
2011,Land Rover,LR4,V8,SUV,automatic,salak2d41ba558016,fl,47.0,45241.0,white,—,d&a fine cars,32000.0,Fri Feb 13 2015 01:25:00 GMT-0800 (PST)
2007,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38787b069564,ca,41.0,103255.0,silver,gray,lease remarketing services inc,10300.0,Wed Feb 25 2015 04:00:00 GMT-0800 (PST)
2013,Subaru,Legacy,2.5i Limited PZEV,Sedan,automatic,4s3bmbk63d3028647,tx,2.0,60822.0,gray,black,the hertz corporation,15100.0,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2005,BMW,X5,4.4i,suv,automatic,5uxfb53555lv12172,ca,31.0,90627.0,blue,gray,ideal transportation,8750.0,Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)
2004,Lexus,ES 330,Base,sedan,automatic,jthba30gx45017187,va,3.0,76809.0,purple,gray,car web,8800.0,Thu May 28 2015 02:35:00 GMT-0700 (PDT)
2007,Toyota,FJ Cruiser,Base,SUV,automatic,jtebu11f770062023,nc,19.0,80175.0,blue,black,meridian remarketing,15800.0,Tue Mar 10 2015 02:15:00 GMT-0700 (PDT)
2008,Jeep,Compass,Sport,SUV,automatic,1j8ff47w58d682381,mi,39.0,132992.0,black,black,lafontaine subaru,5050.0,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
2013,Chevrolet,Malibu,LS,Sedan,automatic,1g11b5sa8df339487,nc,41.0,41962.0,white,gray,santander consumer,11900.0,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
2013,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk9dbl07829,ny,48.0,14682.0,black,brown,ford motor credit company llc,27900.0,Tue Feb 03 2015 01:50:00 GMT-0800 (PST)
2012,Land Rover,Range Rover,HSE,SUV,automatic,salme1d44ca366184,pa,,64524.0,blue,—,european automobile company,34000.0,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
2012,Ford,Transit Connect,Wagon XLT,Minivan,automatic,nm0ks9bn1ct124200,tx,39.0,66639.0,white,gray,mercedes-benz of houston north,11100.0,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
2005,Nissan,Murano,SE,SUV,automatic,jn8az08w85w401906,pa,3.0,191576.0,blue,black,purple heart,2900.0,Tue Feb 03 2015 05:01:00 GMT-0800 (PST)
2011,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwdz7aj1bm363881,ca,1.0,42008.0,white,beige,vw credit,6100.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2006,Ford,Expedition,XLS,SUV,automatic,1fmpu135x6la18346,ca,36.0,70757.0,blue,gray,onemain rem/coast to coast auto group,5400.0,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2012,Ford,Fusion,SE,Sedan,,3fahp0ha0cr304550,fl,21.0,34651.0,white,gray,lease plan usa,8200.0,Fri Jan 16 2015 02:15:00 GMT-0800 (PST)
2008,Ford,Explorer,Limited,SUV,,1fmeu75e78ua33570,pa,45.0,115577.0,burgundy,tan,morris auto enterprises llc,8500.0,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
2012,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5e35c1145061,ca,41.0,66751.0,black,gray,aaero sweet corporation,8900.0,Thu May 28 2015 04:30:00 GMT-0700 (PDT)
2004,Mercedes-Benz,C-Class,C230,Hatchback,automatic,wdbrn40j64a616938,ca,19.0,129295.0,silver,gray,westlake financial services,2500.0,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
2014,Hyundai,Sonata,GLS,Sedan,,5npeb4acxeh884572,pa,44.0,9169.0,black,gray,hyundai motor finance,14900.0,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2002,BMW,7 Series,745i,Sedan,automatic,wbagl634x2dp51252,ca,24.0,84637.0,gray,black,ideal transportation,4700.0,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap9dc178525,pa,43.0,50229.0,red,black,nissan-infiniti lt,11800.0,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2008,Chrysler,Town and Country,Touring,Minivan,automatic,2a8hr54p08r793694,mo,23.0,83577.0,blue,gray,chrysler capital,7000.0,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar4dm758455,il,47.0,21675.0,gray,gray,infiniti financial services,21800.0,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
2011,Hyundai,Sonata,Limited,sedan,automatic,5npec4ac7bh254968,fl,42.0,46604.0,white,beige,orlando hyundai,13600.0,Wed Jun 03 2015 02:25:00 GMT-0700 (PDT)
